scc,level1,level2,level3,level4,ACES_fuel_category,SEDS_code,CO_emission_factor,CO_ef_units,CO2_emission_factor,CO2_ef_units
10200404,External Combustion Boilers,Industrial,Residual Oil,Grade 5 Oil,residual oil,RFICP,5,Lb / 1000 Gallon,25788.8951892,Lb / 1000 Gallon
10200405,External Combustion Boilers,Industrial,Residual Oil,Cogeneration,residual oil,RFICP,5,Lb / 1000 Gallon,25788.8951892,Lb / 1000 Gallon
10200501,External Combustion Boilers,Industrial,Distillate Oil - Grades 1 and 2,Boiler,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10200502,External Combustion Boilers,Industrial,Distillate Oil,10-100 Million BTU/hr,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10200502,External Combustion Boilers,Industrial,Distillate Oil,Boiler > 100 Million BTU/hr,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10200503,External Combustion Boilers,Industrial,Distillate Oil,< 10 Million BTU/hr,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10200504,External Combustion Boilers,Industrial,Distillate Oil,Grade 4 Oil,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10200505,External Combustion Boilers,Industrial,Distillate Oil,Cogeneration,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10200601,External Combustion Boilers,Industrial,Natural Gas,> 100 Million BTU/hr,gas,NGICP,84,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
10200602,External Combustion Boilers,Industrial,Natural Gas,10-100 Million BTU/hr,gas,NGICP,84,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
10200603,External Combustion Boilers,Industrial,Natural Gas,< 10 Million BTU/hr,gas,NGICP,84,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
10200604,External Combustion Boilers,Industrial,Natural Gas,Cogeneration,gas,NGICP,24,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
